name;description;variant_code;uom;customer_product_code
DUST MOP ACRYLIC 60 CM BLUE;DUST MOP ACRYLIC 60 CM BLUE;;PCS;20022
MICROFIBER WET MOP RED;MICROFIBER WET MOP RED;;PCS;20453
SUNLIGHT ANTI BAU PCH 650 ML;SUNLIGHT ANTI BAU PCH 650 ML;;POUCH;10170
"FLOOR PAD COKLAT 3M - 16""";"FLOOR PAD COKLAT 3M - 16""";;PCS;20041
BLUE SHIELD;BLUE SHIELD;;GLN;10266
KOPI KAPAL API SPECIAL 160 GR;KOPI KAPAL API SPECIAL 160 GR;;PACK;81027
SWALLOW TOIL.COLOR BALLS109 4X5'S;SWALLOW TOIL.COLOR BALLS109 4X5'S;;PACK;60079
PENGKI TUTUP GANTUNG;PENGKI TUTUP GANTUNG;;PCS;20168
SIKAT NILON TANGKAI NAGATA 833;SIKAT NILON TANGKAI NAGATA 833;;PCS;20207
SEPATU BOOT PETROVA;SEPATU BOOT PETROVA;;PAIR;50209
CARPET SHAMPOO RUGBEE 4 LTR;CARPET SHAMPOO RUGBEE 4 LTR;;GLN;10343
LOUNDRY SERVICES AMNT;LOUNDRY SERVICES AMNT;;BOOK;30595
SUSU BENDERA SKM GOLD PTH KLG 6X370G;SUSU BENDERA SKM GOLD PTH KLG 6X370G;;CANS;81894
BAJU PDL SATU (CREAM);BAJU PDL SATU (CREAM);;PCS;50450
BAJU PSH LENGAN PANJANG (COKELAT);BAJU PSH LENGAN PANJANG (COKELAT);;PCS;50410
PLASMA WORK AQ SINGING ROCK EN397 KASK;PLASMA WORK AQ SINGING ROCK EN397 KASK;;PCS;50375
BOTOL SPRAYER;BOTOL SPRAYER;;PCS;20008
NOBLA LIQUID ( @ 20 LTR );NOBLA LIQUID ( @ 20 LTR );;LTR;10202
JAS HUJAN;JAS HUJAN;;PCS;50115
TISSUE PLENTY BATHROOM DME (SUBT-009);TISSUE PLENTY BATHROOM DME (SUBT-009);;BOX;20366
MASKER KN95;MASKER KN95;;PCS;50141
SUPERPELL P.LT GREEN PCH 770 ML;SUPERPELL P.LT GREEN PCH 770 ML;;POUCH;10173
WINDOW SQUEEGE 35 CM;WINDOW SQUEEGE 35 CM;;PCS;20301
TASKI JONTEC FUTUR CONCENTRATE 2X5L/CTN;TASKI JONTEC FUTUR CONCENTRATE 2X5L/CTN;;GLN;10241
MICROFIBER BLUE ACTIVA MOP HEAD POCKET 50 X 11;MICROFIBER BLUE ACTIVA MOP HEAD POCKET 50 X 11;;PCS;20139
FORM INSPEKSI TOILET;FORM INSPEKSI TOILET;;BOOK;30538
TETRA POWDER PLUS 1 KG;TETRA POWDER PLUS 1 KG;;KG;10180
WET FLOOR SIGN 2 PART;WET FLOOR SIGN 2 PART;;UNIT;41683
MICROFIBER WET MOP WHITE;MICROFIBER WET MOP WHITE;;PCS;20454
RUG BOWL NYLON NAGATA 317A;RUG BOWL NYLON NAGATA 317A;;PCS;20183
GRAMAXONE 276 SL ISI 1 LTR;GRAMAXONE 276 SL ISI 1 LTR;;BTL;10071
JAS HUJAN MANTEL ACCESS CONTROL;JAS HUJAN MANTEL ACCESS CONTROL;;PCS;50117
MICROFIBER CLOTH RED 35 X 35 LOGO ISS;MICROFIBER CLOTH RED 35 X 35 LOGO ISS;;PCS;20146
FLOOR SQUEEGEE 75 CM;FLOOR SQUEEGEE 75 CM;;PCS;20050
GULA PASIR GULAKU 1KG;GULA PASIR GULAKU 1KG;;KG;80695
